feature,importance
sensor11,0.18827068982486017
sensor13,0.17451587506982794
sensor15,0.1525380635371922
sensor4,0.12559886290499253
sensor9,0.049596952085923726
sensor14,0.04188983049094383
sensor2,0.037754996425908634
sensor3,0.034284421420744525
sensor12,0.03263139150505148
sensor7,0.03010782217452473
sensor21,0.03008453363060123
sensor20,0.025226671898088776
setting1,0.02443170349473917
sensor8,0.024427636316625194
setting2,0.012309229606162842
sensor17,0.012203119483311155
sensor6,0.0028403334060441137
sensor16,0.0006971952664684834
sensor10,0.0005429094234985614
sensor18,1.9774683008753268e-05
sensor1,1.4939510677078713e-05
sensor5,1.2981950762619353e-05
setting3,5.5913230758578884e-08
sensor19,9.976811484295753e-09
