feature,importance
sensor11,0.43140584152741934
sensor9,0.12426619356774603
sensor4,0.09489522014238415
sensor12,0.04519108791820271
sensor7,0.03703319877768199
sensor14,0.036937663849926375
sensor15,0.032744839616250736
sensor21,0.031505602495960544
sensor3,0.02831968149452167
sensor2,0.027143474740472715
sensor20,0.02348421642000462
setting1,0.02239811705186685
sensor13,0.020813606475841157
sensor8,0.019986976472011333
setting2,0.013750362432252678
sensor17,0.009404324585024748
sensor6,0.0007195924324322146
