dataset,features,modello,CV_MAE_mean,CV_MAE_std,CV_RMSE_mean,CV_RMSE_std,test_MAE,test_RMSE,baseline_test_MAE,baseline_test_RMSE,n_features
FD001,sensors_only,Linear Regression,34.33385688151772,1.8766284217803921,44.88830523694432,3.1513536890292975,25.536288160381662,31.949774556367974,40.87930202123019,52.62485752612688,15
FD001,sensors_only,Decision Tree,42.3188968836932,0.9219051432265322,60.42104309604334,0.752497671793502,35.42,49.797389489811614,40.87930202123019,52.62485752612688,15
FD001,sensors_only,Random Forest,30.578958493287438,1.2546749557283496,43.19051662232623,1.6699212255520643,24.406199999999995,33.55331656483454,40.87930202123019,52.62485752612688,15
FD001,sensors_plus_settings,Linear Regression,34.33707127049196,1.8818429001365882,44.89376209192159,3.1552377513761436,25.59178011070253,32.04109478174126,40.87930202123019,52.62485752612688,17
FD001,sensors_plus_settings,Decision Tree,42.61588131314382,0.8865739937496886,60.82425231722933,0.8206006211165365,36.53,52.494094905998715,40.87930202123019,52.62485752612688,17
FD001,sensors_plus_settings,Random Forest,30.604642744630485,1.250565439349648,43.191761251422534,1.6845023143747015,24.818499999999993,33.961513047860514,40.87930202123019,52.62485752612688,17
FD002,sensors_only,Linear Regression,34.714767976409256,0.7634178174798657,45.11347639846606,1.1003677625280324,27.524749481473236,33.92410572164811,50.863157689103105,60.16234878009541,21
FD002,sensors_only,Decision Tree,44.7164385535066,0.6323789901654899,62.371975601139376,0.7425326986163333,31.401544401544403,46.65882908996251,50.863157689103105,60.16234878009541,21
FD002,sensors_only,Random Forest,31.943003211072174,1.025207841706533,43.89135665110573,1.3285834723765486,23.141370656370654,31.493616487157432,50.863157689103105,60.16234878009541,21
FD002,sensors_plus_settings,Linear Regression,34.709286656952834,0.7629885513781139,45.11333487533811,1.10157661437449,27.539892834560604,33.93146183415451,50.863157689103105,60.16234878009541,24
FD002,sensors_plus_settings,Decision Tree,44.79780367357573,0.5578714802851825,62.434182734072934,0.6925929766455172,31.768339768339768,47.052094681316945,50.863157689103105,60.16234878009541,24
FD002,sensors_plus_settings,Random Forest,31.950157326122575,1.0225223364419243,43.884452670977666,1.3442254634013715,23.228590733590732,31.506867776485528,50.863157689103105,60.16234878009541,24
FD003,sensors_only,Linear Regression,47.60548498957246,1.2830353586680665,64.02033173797352,1.9844347956914408,47.03953807567712,57.05730530056807,63.270898058252435,75.18009423903638,16
FD003,sensors_only,Decision Tree,58.22980964291317,2.8331178322553914,85.38064891560566,4.719656845737557,36.69,55.218927914257804,63.270898058252435,75.18009423903638,16
FD003,sensors_only,Random Forest,43.78983249932741,3.3805868460399435,64.88075453807673,4.798645652985701,32.9925,45.10376655003438,63.270898058252435,75.18009423903638,16
FD003,sensors_plus_settings,Linear Regression,47.611438895299145,1.2862230248846818,64.02764891035042,1.9893408177673804,47.062719326001826,57.076206240401234,63.270898058252435,75.18009423903638,18
FD003,sensors_plus_settings,Decision Tree,58.68186785686478,2.7339663879802965,85.74812277885782,5.040171094463929,37.63,54.79936131014667,63.270898058252435,75.18009423903638,18
FD003,sensors_plus_settings,Random Forest,43.699368096384035,3.4506265764182467,64.71753696050227,4.836814264295072,33.27645,45.47358133301137,63.270898058252435,75.18009423903638,18
FD004,sensors_only,Linear Regression,46.31283280918636,1.3467768649451006,60.55844039587489,3.1689215722469575,38.53242159980375,47.6456318027408,60.035201298875734,71.82790486974375,21
FD004,sensors_only,Decision Tree,56.32109487914158,1.14899256975801,80.16406576023624,1.7937243918168615,45.70967741935484,69.55468955224858,60.035201298875734,71.82790486974375,21
FD004,sensors_only,Random Forest,40.962376717260454,2.5739666379727004,57.319618896328265,4.521849758002956,31.307459677419356,42.677464715660555,60.035201298875734,71.82790486974375,21
FD004,sensors_plus_settings,Linear Regression,46.125013880238406,1.349163944875739,60.343109770242656,3.148413080564936,38.73926701380966,47.75896490633643,60.035201298875734,71.82790486974375,24
FD004,sensors_plus_settings,Decision Tree,56.41603802231968,1.5501162596690616,80.27995628673474,2.2750151683277346,43.53225806451613,65.381078943919,60.035201298875734,71.82790486974375,24
FD004,sensors_plus_settings,Random Forest,40.97107508230088,2.5843930438710987,57.31904689675245,4.538922616914292,30.990463709677424,42.41702776545812,60.035201298875734,71.82790486974375,24
