feature,importance
sensor13,0.28771932682666473
sensor11,0.13649257318862143
sensor15,0.10640672776102333
sensor6,0.05714010768539417
sensor4,0.05257718148983076
sensor9,0.048037073977378955
sensor2,0.03950294907594545
sensor14,0.03738590735836537
sensor7,0.035498103036522975
sensor8,0.034419663226394635
sensor12,0.03387600991222139
sensor3,0.03123146533451657
sensor21,0.02834637086722379
setting1,0.023832772039596124
sensor20,0.023337408753296113
setting2,0.012140294681718993
sensor17,0.009681486478450692
sensor10,0.002214898259706956
sensor16,0.00013146707299218613
sensor18,1.1288203603990856e-05
sensor5,8.960745321415266e-06
sensor1,7.940168018601651e-06
setting3,1.2103370766963098e-08
sensor19,1.175382058591454e-08
