feature,importance
sensor11,0.19052025759715527
sensor13,0.1762153389643239
sensor15,0.15563223140516624
sensor4,0.12859323824397273
sensor9,0.052586145529169806
sensor14,0.04488102206706517
sensor2,0.040518798351651814
sensor3,0.03749666077434137
sensor12,0.03554860664774698
sensor7,0.03308347758998818
sensor21,0.0330142954601603
sensor20,0.027871565814951406
sensor8,0.026332465506085635
sensor17,0.013192204914682813
sensor6,0.003117643015918559
sensor16,0.000724272148643364
sensor10,0.0006270339039544506
sensor18,1.521304186223506e-05
sensor1,1.5098594291084709e-05
sensor5,1.442931962652634e-05
sensor19,1.1092422959569398e-09
