feature,importance
sensor13,0.28926387483395116
sensor11,0.13884295781191003
sensor15,0.1094097174420778
sensor6,0.057758809350125284
sensor4,0.055452549386248606
sensor9,0.05104029783648254
sensor2,0.04239350337322362
sensor14,0.04036885638892095
sensor7,0.03828556784101342
sensor12,0.036668991390108
sensor8,0.03619462212568907
sensor3,0.03407906846539698
sensor21,0.031378687233178514
sensor20,0.025775270714485966
sensor17,0.010601086894920316
sensor10,0.0023096805873290237
sensor16,0.0001404363847674838
sensor18,1.4198641803212018e-05
sensor5,1.1852613736607244e-05
sensor1,9.937359534938357e-06
sensor19,3.332509660289398e-08
