feature,importance
sensor11,0.4484661585006464
sensor12,0.13129813831524473
sensor9,0.0833833835641708
sensor7,0.03467155688676387
sensor6,0.034577978469766645
sensor14,0.03449224307062622
sensor4,0.033463477249853386
sensor15,0.025667163254754478
sensor21,0.024780385247560273
sensor3,0.02462599369684498
sensor13,0.023975095969656406
sensor2,0.02254786922770997
sensor8,0.019882495595637144
setting1,0.01947998680548398
sensor20,0.019163280058213644
setting2,0.012221263640215425
sensor17,0.0072044538565883606
sensor10,9.907659026337135e-05
